category,n_samples,n_clickbait,n_non_clickbait,accuracy,macro_f1,clickbait_precision,clickbait_recall,clickbait_f1,balanced_accuracy,false_positive_count,false_negative_count,false_positive_rate,false_negative_rate,dominant_error_type
Giải trí & Showbiz,51,35,16,0.6470588235294118,0.6029411764705883,0.7575757575757576,0.7142857142857143,0.7352941176470589,0.6071428571428572,8,10,0.5,0.2857142857142857,FN
Văn hóa & Nghệ thuật,11,4,7,0.6363636363636364,0.6071428571428572,0.5,0.5,0.5,0.6071428571428572,2,2,0.2857142857142857,0.5,FN
Thể thao,64,12,52,0.6875,0.6135265700483092,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.6794871794871795,16,4,0.3076923076923077,0.3333333333333333,FP
Chính trị & An ninh,26,6,20,0.7692307692307693,0.6285714285714286,0.5,0.3333333333333333,0.4,0.6166666666666667,2,4,0.1,0.6666666666666666,FN
Du lịch & Ẩm thực,23,13,10,0.6521739130434783,0.6349206349206349,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.6346153846153846,5,3,0.5,0.23076923076923078,FP
Sức khỏe & Đời sống,40,19,21,0.65,0.6419437340153453,0.5925925925925926,0.8421052631578947,0.6956521739130435,0.6591478696741855,11,3,0.5238095238095238,0.15789473684210525,FP
Xe & Vận tải,28,10,18,0.6785714285714286,0.6571428571428571,0.5454545454545454,0.6,0.5714285714285714,0.6611111111111111,5,4,0.2777777777777778,0.4,FP
Other,228,61,167,0.7543859649122807,0.7113924050632912,0.5316455696202531,0.6885245901639344,0.6,0.7334838519681948,37,19,0.2215568862275449,0.3114754098360656,FP
Công nghệ & Khoa học,41,17,24,0.7317073170731707,0.731067382230173,0.6363636363636364,0.8235294117647058,0.717948717948718,0.7450980392156863,8,3,0.3333333333333333,0.17647058823529413,FP
Quốc tế,38,6,32,0.8421052631578947,0.7625,0.5,0.8333333333333334,0.625,0.8385416666666667,5,1,0.15625,0.16666666666666666,FP
Giáo dục & Học đường,43,12,31,0.8372093023255814,0.7922705314009661,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.7849462365591398,3,4,0.0967741935483871,0.3333333333333333,FN
Kinh doanh & Kinh tế,51,15,36,0.8235294117647058,0.8042643923240937,0.65,0.8666666666666667,0.7428571428571429,0.8361111111111111,7,2,0.19444444444444445,0.13333333333333333,FP
Tin tức tổng hợp,39,3,36,0.9487179487179487,0.8194444444444444,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8194444444444444,1,1,0.027777777777777776,0.3333333333333333,FP
