direction,rank_within_direction,feature,coefficient,cue_group
clickbait,1,nào,2.101,question/curiosity
clickbait,2,sao,2.0012,question/curiosity
clickbait,3,có,1.8794,vague_reference
clickbait,4,bất,1.8512,surprise/emotion
clickbait,5,gì,1.8374,question/curiosity
clickbait,6,ngờ,1.71,surprise/emotion
clickbait,7,không,1.6802,vague_reference
clickbait,8,con,1.625,other
clickbait,9,ăn,1.577,other
clickbait,10,khiến,1.5047,vague_reference
clickbait,11,của,1.4868,other
clickbait,12,bất ngờ,1.4853,surprise/emotion
clickbait,13,lộ,1.44,other
clickbait,14,vì,1.4345,other
clickbait,15,là,1.4302,vague_reference
clickbait,16,gây,1.3646,other
clickbait,17,như,1.3135,other
clickbait,18,cũng,1.3043,other
clickbait,19,khi,1.2437,other
clickbait,20,phải,1.2338,other
non_clickbait,1,báo,-1.7445,official/news
non_clickbait,2,2025,-1.6199,entity/event
non_clickbait,3,công,-1.6044,official/news
non_clickbait,4,bộ,-1.5624,official/news
non_clickbait,5,án,-1.4921,official/news
non_clickbait,6,hội,-1.4159,official/news
non_clickbait,7,điểm,-1.1696,other
non_clickbait,8,báo chí,-1.1324,official/news
non_clickbait,9,thông,-1.083,other
non_clickbait,10,từ,-1.0827,other
non_clickbait,11,vụ,-1.0662,official/news
non_clickbait,12,nước,-1.0657,other
non_clickbait,13,thi,-1.0525,other
non_clickbait,14,tướng,-1.0433,other
non_clickbait,15,tế,-0.9592,other
non_clickbait,16,thủ tướng,-0.9428,official/news
non_clickbait,17,mới,-0.9263,other
non_clickbait,18,hợp,-0.9023,other
non_clickbait,19,mới nhất,-0.8728,other
non_clickbait,20,quy,-0.8677,other
